GivenName,Surname,Gender,Age,Kilograms,Centimeters,BloodType,StateFull
Evelyn,Cardoso,female,22,49.9,162,B+,São Paulo
Felipe,Goncalves,male,65,84.7,184,AB+,São Paulo
João,Ribeiro,male,82,89.1,172,A+,Rio Grande do Sul
Bruna,Silva,female,65,101.6,154,A+,São Paulo
Mariana,Dias,female,72,51.7,153,O+,Minas Gerais
Rodrigo,Pereira,male,73,60.3,179,O+,São Paulo
Maria,Rocha,female,32,81.2,155,A+,Pernambuco
Isabela,Carvalho,female,57,53.3,159,O+,Minas Gerais
Vitoria,Melo,female,40,86.8,155,O+,Paraná
Kaua,Cavalcanti,male,44,83.9,167,A+,Distrito Federal
Ágatha,Sousa,female,80,54.6,151,O+,Distrito Federal
Danilo,Azevedo,male,67,93.1,170,A+,São Paulo
Antônio,Martins,male,74,76.0,178,O+,Minas Gerais
Arthur,Cunha,male,30,103.7,169,B+,São Paulo
Ryan,Dias,male,85,85.5,164,B+,Distrito Federal
Renan,Almeida,male,22,70.6,171,B+,São Paulo
André,Rodrigues,male,20,58.8,181,O+,São Paulo
Emily,Silva,female,43,96.8,160,O+,Minas Gerais
Clara,Santos,female,47,76.0,167,A+,Minas Gerais
Carla,Martins,female,63,54.4,153,AB-,Minas Gerais
Anna,Dias,female,27,100.3,155,B+,São Paulo
Vitoria,Fernandes,female,61,98.3,158,A+,São Paulo
Larissa,Pinto,female,57,51.8,167,A+,São Paulo
Kauã,Cardoso,male,29,87.4,175,B+,Mato Grosso do Sul
Arthur,Almeida,male,21,79.4,168,B+,São Paulo
Luís,Silva,male,52,103.6,182,B+,Goiás
Rafaela,Ferreira,female,82,93.5,166,O+,Minas Gerais
Douglas,Alves,male,49,108.5,182,B+,São Paulo
Guilherme,Silva,male,38,107.9,170,A+,Paraná
Guilherme,Silva,male,47,68.8,172,O+,Pará
Igor,Goncalves,male,50,96.8,168,O+,São Paulo
Samuel,Alves,male,50,100.6,187,B+,Amazonas
Camila,Alves,female,38,54.5,156,O+,São Paulo
João,Correia,male,36,72.5,188,A-,Santa Catarina
Thiago,Alves,male,74,70.6,165,A+,Rio de Janeiro
Vitoria,Castro,female,20,65.9,166,AB+,São Paulo
Maria,Carvalho,female,37,91.7,155,A+,Minas Gerais
Beatriz,Santos,female,33,91.2,168,O+,Rio de Janeiro
Diego,Barbosa,male,34,99.6,171,AB+,Rio de Janeiro
Cauã,Gomes,male,44,71.7,188,O+,São Paulo
Júlio,Barbosa,male,64,97.8,168,O+,Piauí
Beatrice,Gomes,female,55,60.0,160,B+,Minas Gerais
Nicolash,Almeida,male,53,77.1,172,O+,São Paulo
Diogo,Martins,male,81,98.5,182,B+,São Paulo
Thiago,Costa,male,43,71.4,182,O+,Paraná
Rebeca,Cavalcanti,female,66,72.0,164,B+,Rio de Janeiro
Júlia,Azevedo,female,38,54.5,156,O+,Rio de Janeiro
Kauan,Castro,male,26,82.9,177,B-,Distrito Federal
Vitória,Costa,female,34,53.8,161,O+,São Paulo
Júlio,Martins,male,77,88.5,166,B+,Paraná
Rebeca,Melo,female,64,60.7,155,A-,Rio de Janeiro
Emilly,Sousa,female,46,80.9,157,O+,São Paulo
Sarah,Barros,female,74,58.8,171,B+,São Paulo
Camila,Dias,female,51,59.2,168,B+,Pernambuco
Matilde,Ribeiro,female,39,64.3,161,B+,São Paulo
Lavinia,Azevedo,female,70,95.8,166,A+,Rio Grande do Sul
Kauan,Goncalves,male,66,81.1,171,O+,Rio Grande do Sul
Clara,Pinto,female,42,59.0,171,O+,São Paulo
Ágatha,Ferreira,female,43,74.7,168,A+,Goiás
Leonor,Santos,female,19,88.5,170,AB+,São Paulo
Ágatha,Silva,female,76,106.4,159,O+,São Paulo
Nicole,Castro,female,57,101.8,161,O+,São Paulo
Isabela,Ribeiro,female,22,88.4,173,A+,São Paulo
Camila,Cavalcanti,female,22,58.3,167,A+,São Paulo
Clara,Barros,female,54,71.5,174,A+,Minas Gerais
Tiago,Cardoso,male,48,106.6,173,O+,Piauí
Letícia,Pereira,female,34,68.2,171,B+,São Paulo
Julia,Santos,female,44,57.4,172,O+,São Paulo
Julian,Gomes,male,27,109.1,183,A+,São Paulo
Isabelle,Araujo,female,75,97.4,155,B+,Rondônia
Ágatha,Barros,female,83,90.6,153,O+,Ceará
Eduarda,Cardoso,female,66,76.0,161,B+,Santa Catarina
Marcos,Ferreira,male,43,102.1,185,O+,Santa Catarina
Paulo,Rocha,male,64,93.6,177,O+,São Paulo
Isabella,Fernandes,female,27,61.9,161,O-,Minas Gerais
Arthur,Dias,male,22,96.8,174,O+,São Paulo
Vitoria,Cavalcanti,female,73,52.1,155,B+,São Paulo
Gabrielle,Castro,female,72,54.2,152,B+,Minas Gerais
Igor,Silva,male,69,103.8,163,O+,Santa Catarina
Luiza,Barbosa,female,65,88.9,166,A+,Minas Gerais
Letícia,Goncalves,female,28,69.8,158,A+,Ceará
Victor,Rodrigues,male,21,67.2,190,B+,São Paulo
Pedro,Costa,male,19,62.3,172,A+,Pará
Sarah,Almeida,female,45,79.9,165,B+,Santa Catarina
Melissa,Rodrigues,female,81,93.4,160,A+,Rondônia
Júlia,Souza,female,53,92.6,170,O+,Mato Grosso do Sul
Cauã,Santos,male,43,104.9,175,A+,São Paulo
Diogo,Oliveira,male,74,84.7,166,A+,Rio de Janeiro
João,Castro,male,66,100.1,180,O+,São Paulo
Caio,Pereira,male,23,108.7,176,O+,São Paulo
Júlia,Goncalves,female,29,71.3,154,O+,São Paulo
Ágatha,Rodrigues,female,84,91.0,159,O+,São Paulo
Lavinia,Rodrigues,female,67,100.2,151,B+,Paraíba
Gabrielle,Pinto,female,85,48.7,170,B+,Espírito Santo
Vinicius,Goncalves,male,19,90.4,171,O+,Rio de Janeiro
Marisa,Lima,female,77,78.7,164,O+,Minas Gerais
Paulo,Silva,male,64,75.7,166,B+,São Paulo
Nicolas,Martins,male,82,64.5,173,O+,Rio Grande do Sul
Giovana,Silva,female,45,86.5,164,B+,Santa Catarina
Rafaela,Souza,female,66,94.1,160,B+,Espírito Santo
Bruna,Souza,female,37,98.9,170,A+,Pernambuco
Tomás,Dias,male,62,88.2,181,AB+,Alagoas
Luiza,Santos,female,65,71.2,171,B+,Bahia
André,Fernandes,male,27,98.7,188,B+,Distrito Federal
Amanda,Souza,female,77,63.7,167,O+,Rio de Janeiro
Erick,Goncalves,male,36,73.7,174,O+,São Paulo
Fernanda,Oliveira,female,65,60.3,162,B+,Rio de Janeiro
Carolina,Oliveira,female,28,55.9,172,B+,Minas Gerais
Carla,Melo,female,58,73.0,160,O+,Ceará
Thiago,Cavalcanti,male,74,93.9,182,O+,Pernambuco
Vinicius,Carvalho,male,69,98.5,166,A+,São Paulo
Thiago,Fernandes,male,50,115.9,167,B-,Bahia
Sophia,Ferreira,female,63,52.4,157,A+,Pernambuco
Rodrigo,Cardoso,male,57,79.5,185,O+,Rio de Janeiro
Giovanna,Almeida,female,50,88.5,173,O+,Rio Grande do Norte
Gustavo,Souza,male,83,80.9,174,O+,Mato Grosso do Sul
Gabrielle,Goncalves,female,48,67.6,156,B+,São Paulo
Leonor,Dias,female,29,85.9,162,B+,Minas Gerais
Fábio,Souza,male,37,110.7,187,B+,Santa Catarina
Mateus,Melo,male,47,66.9,176,B-,Paraná
Júlio,Castro,male,37,63.8,188,O+,São Paulo
Carlos,Pinto,male,83,86.2,166,A+,Distrito Federal
Thaís,Barros,female,21,62.8,163,B+,São Paulo
Laura,Barbosa,female,78,89.7,155,O+,Paraná
Gustavo,Souza,male,59,88.7,172,O+,São Paulo
Manuela,Cavalcanti,female,57,99.0,163,A+,Distrito Federal
Fernanda,Gomes,female,67,89.9,157,A+,Minas Gerais
Larissa,Barros,female,64,74.2,161,O+,Minas Gerais
Carlos,Ribeiro,male,37,64.1,173,O+,São Paulo
Bruno,Goncalves,male,23,109.2,167,O+,Minas Gerais
Julia,Barros,female,37,64.4,168,O+,Rio Grande do Norte
Giovana,Rodrigues,female,30,56.8,159,O+,Pernambuco
Lara,Gomes,female,24,76.5,163,B+,Espírito Santo
Ana,Barros,female,69,74.1,157,O+,Bahia
Danilo,Oliveira,male,78,76.7,163,O+,Bahia
Danilo,Ribeiro,male,58,107.6,183,O+,Paraná
Ana,Correia,female,52,85.8,172,A-,São Paulo
Vitoria,Gomes,female,20,80.9,153,B+,São Paulo
Danilo,Cavalcanti,male,74,90.8,176,O+,São Paulo
Lara,Barros,female,69,66.4,154,A-,Minas Gerais
Luan,Carvalho,male,62,102.5,180,O+,São Paulo
Pedro,Alves,male,19,100.0,186,A-,Rio Grande do Sul
Isabella,Dias,female,74,49.5,165,O+,São Paulo
Lara,Goncalves,female,48,60.1,168,A+,Minas Gerais
Emilly,Rocha,female,60,93.2,164,O+,São Paulo
Carolina,Carvalho,female,42,92.6,157,O+,Rio de Janeiro
Alice,Oliveira,female,54,98.0,164,A+,Bahia
Gabriela,Cardoso,female,32,78.0,162,O-,Rio de Janeiro
Cauã,Barbosa,male,31,102.6,185,A+,Minas Gerais
Fernanda,Araujo,female,27,48.4,154,B+,Alagoas
Kai,Fernandes,male,62,110.0,172,B+,Rio de Janeiro
Leonardo,Costa,male,75,101.9,178,O+,São Paulo
Melissa,Rodrigues,female,76,54.3,169,B+,Paraná
Carla,Araujo,female,40,74.1,163,AB+,São Paulo
Caio,Araujo,male,34,62.8,173,O+,Santa Catarina
Luana,Fernandes,female,63,67.6,152,B+,Rio Grande do Sul
Alice,Gomes,female,30,63.2,163,O+,Mato Grosso do Sul
Alex,Almeida,male,82,78.1,182,A-,São Paulo
Davi,Barbosa,male,39,84.9,175,O+,Pernambuco
Carla,Castro,female,24,96.5,170,B+,Distrito Federal
Sofia,Souza,female,24,53.9,157,O+,Minas Gerais
Ryan,Ribeiro,male,85,93.3,168,O+,Rio de Janeiro
Paulo,Martins,male,53,114.1,177,A+,São Paulo
Eduarda,Castro,female,39,61.2,173,O+,Piauí
Larissa,Martins,female,59,61.2,164,A+,Minas Gerais
Leila,Carvalho,female,84,64.7,152,B+,Paraná
Danilo,Souza,male,22,76.5,172,O-,Pernambuco
Sarah,Rocha,female,53,84.6,171,A+,Paraná
Rebeca,Ferreira,female,41,75.6,155,O+,Goiás
Vitória,Rodrigues,female,56,75.4,162,O+,Paraíba
Nicole,Martins,female,56,104.4,165,A+,São Paulo
Luan,Cunha,male,40,94.8,185,B+,Minas Gerais
Tomás,Fernandes,male,80,71.7,174,B+,Goiás
Kauã,Souza,male,27,65.0,190,O+,Rio Grande do Norte
Lara,Pinto,female,85,53.8,154,B+,Espírito Santo
Kauê,Gomes,male,37,96.7,169,O+,Amazonas
Matheus,Fernandes,male,25,93.8,184,B+,Rio Grande do Sul
Eduarda,Alves,female,84,94.0,156,A+,São Paulo
Cauã,Rodrigues,male,27,102.1,181,O-,Espírito Santo
Luana,Oliveira,female,80,48.7,154,O+,Paraná
Thaís,Fernandes,female,55,87.5,166,A+,São Paulo
Nicolas,Silva,male,84,83.3,177,B+,São Paulo
Leonor,Ferreira,female,60,77.6,166,O+,Espírito Santo
Sophia,Ferreira,female,60,68.9,170,O+,Santa Catarina
Arthur,Santos,male,27,78.3,170,O+,São Paulo
Eduarda,Lima,female,54,79.8,170,O+,Espírito Santo
Matheus,Carvalho,male,24,82.7,168,O+,São Paulo
Kai,Melo,male,58,76.0,182,O+,Bahia
Nicole,Cardoso,female,68,83.0,167,O+,Rio de Janeiro
Erick,Souza,male,66,83.7,176,B+,Rio de Janeiro
Kauê,Azevedo,male,31,102.5,178,O+,São Paulo
Lara,Melo,female,57,73.9,173,A+,Pernambuco
Isabela,Ferreira,female,19,47.8,158,A+,Ceará
Kauã,Azevedo,male,60,98.0,174,B+,São Paulo
Nicolash,Correia,male,62,108.7,166,O+,São Paulo
Samuel,Martins,male,55,78.3,169,A+,São Paulo
Douglas,Cunha,male,54,85.8,176,B+,Paraíba
Erick,Cunha,male,34,93.7,189,B+,Distrito Federal
Fábio,Fernandes,male,68,81.1,181,A-,Minas Gerais
Tomás,Correia,male,69,79.9,184,A+,Paraná
Evelyn,Alves,female,48,51.7,164,A+,São Paulo
Júlio,Rocha,male,48,108.9,175,O+,Rio de Janeiro
Maria,Santos,female,65,101.0,153,AB+,Goiás
Luis,Araujo,male,61,94.4,171,O-,São Paulo
Leonardo,Melo,male,71,102.3,170,B+,São Paulo
Yasmin,Barbosa,female,26,68.5,175,A+,Distrito Federal
Emily,Ferreira,female,45,104.7,172,A-,Rio de Janeiro
Laura,Barbosa,female,45,85.7,154,B+,São Paulo
Giovana,Martins,female,43,81.3,174,B+,Rio de Janeiro
Kai,Costa,male,47,96.1,171,B+,São Paulo
Raissa,Cardoso,female,85,52.9,168,B+,Alagoas
Bianca,Martins,female,61,58.6,155,O+,São Paulo
Júlio,Azevedo,male,34,86.9,175,B+,Rio de Janeiro
Júlia,Araujo,female,85,90.1,159,O+,Minas Gerais
Leonor,Santos,female,23,97.1,162,O+,São Paulo
Kauan,Silva,male,51,69.6,185,B+,Goiás
Luiz,Barros,male,21,58.6,177,B-,São Paulo
Julieta,Goncalves,female,51,101.8,165,B+,Goiás
Isabela,Cunha,female,63,62.2,162,B+,São Paulo
Estevan,Araujo,male,22,74.4,176,A+,Rio Grande do Sul
Otávio,Rodrigues,male,77,63.1,177,A+,Santa Catarina
Caio,Dias,male,68,83.9,185,B+,São Paulo
Manuela,Correia,female,55,82.3,165,O-,São Paulo
Kauã,Barros,male,36,74.8,188,B+,Amazonas
Carlos,Cavalcanti,male,69,94.0,169,O+,Distrito Federal
Martim,Souza,male,34,85.1,169,B+,Minas Gerais
Bruno,Cunha,male,47,110.0,185,O+,São Paulo
Luana,Goncalves,female,32,101.9,170,A+,Rio de Janeiro
Luis,Barbosa,male,39,110.8,188,B+,Paraná
Diego,Pereira,male,24,94.2,183,O-,São Paulo
Ágatha,Oliveira,female,34,85.7,161,B+,Distrito Federal
Victor,Oliveira,male,83,76.5,175,A+,Pernambuco
Paulo,Castro,male,24,76.3,171,O+,São Paulo
Vitoria,Melo,female,41,85.0,174,A+,Rio Grande do Sul
Lucas,Martins,male,84,71.5,165,O+,Rio de Janeiro
Rafael,Pinto,male,62,110.7,175,A+,Bahia
Matheus,Rodrigues,male,27,97.7,172,B+,Santa Catarina
Eduardo,Santos,male,40,80.7,172,A+,Goiás
Kai,Ferreira,male,78,71.2,182,O+,São Paulo
Lara,Almeida,female,21,98.9,165,O+,Espírito Santo
Marcos,Costa,male,53,66.0,183,O+,Paraíba
Yasmin,Dias,female,66,96.8,170,A+,São Paulo
Mateus,Cavalcanti,male,19,54.9,186,B+,Espírito Santo
Cauã,Sousa,male,35,91.0,184,A+,Rio Grande do Sul
Vitór,Rocha,male,58,94.4,176,AB+,Rio Grande do Sul
Lucas,Fernandes,male,35,76.8,170,A+,Distrito Federal
Nicolas,Correia,male,44,87.2,169,B+,Rio de Janeiro
Manuela,Cunha,female,21,76.0,158,O+,Minas Gerais
Manuela,Sousa,female,73,65.5,164,B+,São Paulo
Paulo,Pinto,male,48,86.1,168,O+,Distrito Federal
Bianca,Sousa,female,22,61.4,167,A+,São Paulo
Alex,Carvalho,male,20,98.3,174,B+,São Paulo
Tiago,Carvalho,male,64,70.5,175,AB+,Alagoas
Beatrice,Carvalho,female,29,74.7,173,B+,Pará
Melissa,Araujo,female,22,59.5,167,B-,Santa Catarina
Samuel,Carvalho,male,78,78.7,171,AB-,São Paulo
Kaua,Pereira,male,46,78.6,187,AB+,Rio de Janeiro
Murilo,Silva,male,36,88.6,181,O+,São Paulo
Beatriz,Melo,female,73,50.9,165,B+,Minas Gerais
Júlia,Pereira,female,63,77.0,157,A+,Ceará
Eduarda,Silva,female,85,53.7,170,A-,Minas Gerais
Beatriz,Almeida,female,79,65.2,150,O+,Distrito Federal
Carlos,Fernandes,male,20,84.7,176,B+,São Paulo
Vitória,Melo,female,53,103.3,174,O+,São Paulo
Igor,Azevedo,male,23,71.1,188,A+,Minas Gerais
Melissa,Azevedo,female,66,84.9,167,O+,Paraíba
Carlos,Araujo,male,49,81.5,182,B+,São Paulo
Luiz,Ferreira,male,80,66.6,182,B+,Rio de Janeiro
Rodrigo,Melo,male,54,112.5,186,O+,São Paulo
Marina,Martins,female,53,104.4,173,B+,São Paulo
Guilherme,Gomes,male,38,65.8,170,B+,Pernambuco
Fábio,Lima,male,58,76.4,169,O+,São Paulo
Vitór,Goncalves,male,36,73.2,176,O+,Mato Grosso do Sul
Tânia,Silva,female,59,52.9,173,A+,Goiás
Victor,Ferreira,male,80,102.0,178,B+,São Paulo
Emily,Gomes,female,81,49.2,150,O+,Goiás
Gabriela,Gomes,female,41,86.4,166,A+,São Paulo
Tiago,Araujo,male,55,68.7,167,A+,Santa Catarina
Marisa,Cardoso,female,36,65.2,161,A+,São Paulo
Nicolas,Martins,male,60,102.6,172,A+,Distrito Federal
Matheus,Gomes,male,77,69.8,183,O+,Espírito Santo
Joao,Rodrigues,male,80,96.4,177,B+,Goiás
Mariana,Ribeiro,female,55,62.2,170,A+,São Paulo
Anna,Oliveira,female,28,83.9,167,A+,Rio de Janeiro
Lucas,Castro,male,26,87.1,169,O+,Pará
Vinícius,Castro,male,35,64.9,187,A+,Pará
Davi,Castro,male,43,91.7,179,O+,São Paulo
Alex,Goncalves,male,75,84.2,167,B+,Pará
Matheus,Alves,male,21,96.0,179,AB-,São Paulo
Caio,Pereira,male,19,98.2,169,A+,São Paulo
Sophia,Souza,female,78,53.7,153,A+,São Paulo
Luana,Costa,female,35,64.6,174,O+,São Paulo
Emily,Rocha,female,67,85.9,153,O+,Rio de Janeiro
Eduardo,Ferreira,male,38,74.3,179,B+,Pernambuco
Amanda,Lima,female,80,58.5,153,A-,Rio de Janeiro
Mariana,Souza,female,85,58.0,159,AB+,Rio de Janeiro
Júlio,Cunha,male,73,73.0,180,A+,São Paulo
Kauã,Azevedo,male,43,103.0,170,A+,Distrito Federal
Julian,Souza,male,56,65.4,177,O+,Bahia
Antônio,Alves,male,33,63.8,170,B+,Pará
Yasmin,Lima,female,77,55.7,152,O+,São Paulo
Kauan,Dias,male,74,98.7,171,O+,Pernambuco
Emilly,Goncalves,female,45,98.0,164,O+,Bahia
Marina,Alves,female,59,79.6,154,B+,São Paulo
Maria,Sousa,female,49,86.5,168,O+,Santa Catarina
Rafael,Souza,male,31,81.4,170,O+,Ceará
Samuel,Goncalves,male,56,81.8,166,B+,São Paulo
Otávio,Alves,male,37,110.9,182,O+,Ceará
Gabriela,Costa,female,20,53.6,158,A+,Pernambuco
Sofia,Castro,female,42,52.3,156,A-,Espírito Santo
Otávio,Cavalcanti,male,69,86.7,183,A+,Tocantins
Kaua,Rocha,male,37,69.9,171,A+,Ceará
Renan,Pinto,male,34,104.5,190,B+,Bahia
Matilde,Ferreira,female,54,51.3,174,O+,Espírito Santo
Gabriel,Oliveira,male,53,70.0,186,A+,São Paulo
Victor,Fernandes,male,62,97.0,168,O+,São Paulo
Mariana,Fernandes,female,61,67.3,157,O+,Rio de Janeiro
Matheus,Pereira,male,73,88.9,163,A+,Minas Gerais
Felipe,Oliveira,male,57,93.1,183,B+,Pará
Kauê,Castro,male,20,78.5,183,O+,Paraíba
Leonardo,Martins,male,83,69.9,166,O+,São Paulo
Leonor,Oliveira,female,82,92.7,170,O+,São Paulo
Douglas,Sousa,male,22,102.5,180,B+,Pernambuco
Mariana,Souza,female,47,55.8,174,B+,Rio Grande do Sul
Matilde,Sousa,female,81,82.7,152,O+,São Paulo
Erick,Almeida,male,33,109.7,175,O+,Bahia
Gabrielly,Oliveira,female,49,51.3,168,A+,Paraná
Eduarda,Pinto,female,74,75.7,159,A+,Paraná
Vitór,Fernandes,male,63,102.1,186,B+,São Paulo
Arthur,Martins,male,68,85.4,181,O+,Rio de Janeiro
Leila,Barros,female,34,91.2,165,A+,São Paulo
Kai,Pereira,male,48,93.6,175,O+,São Paulo
Larissa,Rocha,female,73,89.8,164,O+,Rio de Janeiro
José,Rocha,male,43,76.9,174,O+,Mato Grosso
Sofia,Cavalcanti,female,61,92.0,169,O+,São Paulo
Gabrielly,Gomes,female,57,54.2,163,O+,Distrito Federal
Nicolash,Barros,male,24,65.0,183,B+,Distrito Federal
Luís,Silva,male,28,61.1,185,A+,Rio de Janeiro
Nicole,Rodrigues,female,61,54.5,155,O+,São Paulo
Gabrielly,Pereira,female,35,76.3,163,B-,Rio Grande do Norte
Julia,Almeida,female,45,105.8,160,O+,São Paulo
Mariana,Martins,female,70,90.3,158,A+,Ceará
Estevan,Ferreira,male,80,64.0,165,A+,Santa Catarina
Vinicius,Ribeiro,male,72,103.7,173,B+,Bahia
Nicole,Azevedo,female,34,71.2,167,A+,Minas Gerais
Danilo,Alves,male,74,100.8,178,B+,Pernambuco
Emily,Azevedo,female,46,50.4,154,B+,Bahia
Fábio,Silva,male,84,59.2,166,O+,São Paulo
Diego,Melo,male,25,86.1,181,O+,Rio Grande do Sul
Eduardo,Cavalcanti,male,31,113.5,169,O+,Rio Grande do Sul
Nicolash,Castro,male,42,93.4,171,A+,Rio de Janeiro
Carolina,Carvalho,female,77,72.1,168,B+,Pernambuco
Gustavo,Carvalho,male,61,75.3,166,B+,Goiás
José,Sousa,male,51,78.8,183,O+,São Paulo
Daniel,Castro,male,38,71.4,186,A+,Rio de Janeiro
Larissa,Melo,female,21,46.3,161,B+,São Paulo
Douglas,Lima,male,22,102.0,168,O+,Paraná
Lara,Costa,female,26,101.6,171,O+,Rio de Janeiro
Martim,Castro,male,52,75.0,182,O+,Rio de Janeiro
Clara,Barbosa,female,39,61.5,157,O+,Minas Gerais
Lara,Correia,female,66,75.8,170,O+,Bahia
Enzo,Cardoso,male,79,97.1,170,O+,Minas Gerais
Luiza,Rodrigues,female,45,57.6,172,B+,Minas Gerais
Thiago,Lima,male,40,69.2,171,AB+,São Paulo
Vitor,Barbosa,male,73,84.1,183,B+,Espírito Santo
Carolina,Santos,female,61,71.0,167,O+,Rio de Janeiro
Sofia,Costa,female,45,99.9,156,B+,Rio de Janeiro
Renan,Pereira,male,42,82.6,176,B+,Ceará
Marcos,Ribeiro,male,35,75.5,181,A+,Goiás
Sarah,Oliveira,female,38,101.9,154,O+,Minas Gerais
Manuela,Carvalho,female,83,61.6,152,O+,Minas Gerais
Cauã,Souza,male,25,89.3,167,A+,São Paulo
Kai,Rodrigues,male,54,86.5,185,B+,Bahia
Alice,Barros,female,34,81.6,164,AB+,Rio de Janeiro
Tiago,Martins,male,79,60.6,168,A+,Alagoas
Fernanda,Castro,female,24,65.0,156,AB+,Amazonas
Alex,Barros,male,79,101.3,180,O+,Rio Grande do Sul
Mariana,Oliveira,female,76,71.3,155,O+,Piauí
Isabella,Cavalcanti,female,28,75.8,160,O+,São Paulo
Sophia,Dias,female,20,45.2,174,B+,São Paulo
Sophia,Goncalves,female,77,74.8,150,A+,Bahia
Aline,Pinto,female,55,51.6,157,A+,Paraíba
Julieta,Fernandes,female,55,83.4,169,O+,Pernambuco
Nicolash,Azevedo,male,25,106.7,167,A+,São Paulo
Laura,Lima,female,72,62.7,156,B+,Minas Gerais
João,Dias,male,50,64.7,187,O+,Minas Gerais
